Passenger Email,Travel Insurance?,Purchase Date,Travel Date,Fare Type,Ticket Price,Route,Row_ID,Person
sshariari@axiom.com,FALSE,12/10/2018,1/26/2019,Economy,141,DAL-PHX,724,Sung Shariari
gguthrie@axiom.com,TRUE,12/03/2019,12/15/2019,Economy,82,DAL-HOU,309,Greg Guthrie
x,FALSE,9/29/2019,10/13/2019,Economy,145,DAL-ELP,191,Dan Reichenbach
aarmold@axiom.com,TRUE,6/25/2019,08/01/2019,First Class,296,DAL-ATL,25,Allen Armold
cleslie@axiom.com,FALSE,11/09/2018,1/17/2019,Economy,151,DAL-OKC,179,Craig Leslie
jcastell@axiom.com,TRUE,12/07/2019,12/24/2019,Economy,131,DAL-AMA,384,John Castell
ahwang@axiom.com,FALSE,8/20/2019,09/05/2019,Business,156,DAL-ATL,14,Alan Hwang
ahwang@axiom.com,TRUE,7/29/2019,09/05/2019,First Class,222,DAL-ATL,14,Alan Hwang
rdowd@axiom.com,TRUE,08/09/2019,9/15/2019,Economy,154,DAL-HOU,638,Rob Dowd
cmcmahon@axiom.com,FALSE,12/23/2018,2/28/2019,Economy,102,DAL-HOU,121,Candace McMahon
tchand@axiom.com,FALSE,12/14/2019,12/25/2019,Economy,139,DAL-LGA,731,Tamara Chand
pbreyer@axiom.com,FALSE,08/08/2019,09/12/2019,Economy,97,DAL-MDW,613,Phillip Breyer
mgastineau@axiom.com,FALSE,9/29/2019,10/26/2019,First Class,260,DAL-ATL,546,Mitch Gastineau
jfein@axiom.com,FALSE,12/21/2018,1/30/2019,Economy,119,DAL-ATL,356,Jay Fein
mlaware@axiom.com,FALSE,6/21/2019,7/31/2019,Economy,139,DAL-PHX,493,Maris LaWare
mvan@axiom.com,FALSE,11/27/2019,12/06/2019,Economy,151,DAL-ATL,498,Mark Van Huff
jellison@axiom.com,FALSE,8/16/2019,11/02/2019,Economy,89,DAL-LAS,364,Jeremy Ellison
mgastineau@axiom.com,FALSE,7/17/2019,9/22/2019,Economy,72,DAL-LAS,511,Maureen Gastineau
ajones@axiom.com,FALSE,4/21/2019,06/12/2019,Economy,77,DAL-MDW,64,Astrea Jones
rbarroso@axiom.com,FALSE,08/06/2019,9/14/2019,Economy,70,DAL-MDW,642,Robert Barroso
mabelman@axiom.com,TRUE,10/05/2019,10/17/2019,Economy,107,DAL-LGA,503,Matt Abelman
ptakahito@axiom.com,FALSE,04/03/2019,5/20/2019,Economy,138,DAL-SEA,605,Pete Takahito
creiten@axiom.com,FALSE,03/08/2019,3/22/2019,Economy,102,DAL-ATL,187,Cyra Reiten
mo'rourke@axiom.com,FALSE,4/15/2019,05/08/2019,Economy,152,DAL-AUS,499,Mary O'Rourke
lleatherbury@axiom.com,TRUE,04/08/2019,6/19/2019,Business,150,DAL-AUS,455,Lauren Leatherbury
abarton@axiom.com,FALSE,10/26/2019,11/23/2019,Economy,110,DAL-OKC,7,Adrian Barton
bpond@axiom.com,FALSE,12/08/2019,12/24/2019,Economy,107,DAL-LGA,70,Barry Pond
schand@axiom.com,FALSE,04/04/2019,4/29/2019,Economy,135,DAL-CLE,672,Sanjit Chand
jradford@axiom.com,TRUE,11/09/2019,12/25/2019,Economy,125,DAL-MDW,377,Jim Radford
rbarroso@axiom.com,TRUE,11/05/2019,11/14/2019,Economy,101,DAL-TUL,642,Robert Barroso
canderson@axiom.com,FALSE,10/16/2019,12/08/2019,Economy,75,DAL-HOU,150,Christina Anderson
so'donnell@axiom.com,TRUE,4/20/2019,05/04/2019,Business,94,DAL-LGA,688,Sean O'Donnell
hmarie@axiom.com,FALSE,8/25/2019,10/27/2019,Economy,139,DAL-ATL,323,Harry Marie
bkampe@axiom.com,FALSE,05/05/2019,5/22/2019,Economy,82,DAL-LGA,84,Berenike Kampe
rmurray@axiom.com,FALSE,05/07/2019,5/23/2019,Economy,121,DAL-LGA,649,Roland Murray
lcurrie@axiom.com,FALSE,9/18/2019,11/24/2019,Economy,136,DAL-OKC,475,Logan Currie
emurdock@axiom.com,FALSE,11/06/2019,11/12/2019,Business,104,DAL-OKC,263,Eric Murdock
againer@axiom.com,FALSE,11/20/2019,12/20/2019,Economy,118,DAL-HOU,60,Arthur Gainer
jmolinari@axiom.com,FALSE,10/22/2019,11/09/2019,Economy,124,DAL-MDW,350,Janet Molinari
mpacker@axiom.com,TRUE,03/07/2019,3/17/2019,Economy,62,DAL-HOU,497,Mark Packer
cdaly@axiom.com,FALSE,9/24/2019,11/10/2019,First Class,244,DAL-ATL,127,Carlos Daly
jdaniels@axiom.com,FALSE,07/06/2019,09/05/2019,Economy,122,DAL-PHX,400,Joy Daniels
cmitchell@axiom.com,FALSE,4/22/2019,4/30/2019,Economy,106,DAL-ELP,176,Corinna Mitchell
dbenoit@axiom.com,FALSE,8/17/2019,09/12/2019,Economy,125,DAL-PHX,243,Duane Benoit
achung@axiom.com,FALSE,8/19/2019,9/29/2019,Economy,69,DAL-LGA,44,Anna Chung
mabelman@axiom.com,FALSE,05/11/2019,06/07/2019,First Class,264,DAL-HOU,503,Matt Abelman
lshagiari@axiom.com,FALSE,07/02/2019,10/30/2019,First Class,251,DAL-PHX,464,Lindsay Shagiari
jkarlsson@axiom.com,FALSE,11/13/2019,11/28/2019,Economy,125,DAL-LGA,374,Jim Karlsson
tpippenger@axiom.com,FALSE,8/20/2019,11/12/2019,First Class,230,DAL-MDW,741,Theone Pippenger
,FALSE,4/17/2019,4/25/2019,Economy,120,DAL-GRR,671,Sandra Glassco
tritter@axiom.com,FALSE,10/05/2019,11/13/2019,Economy,60,DAL-MDW,754,Toby Ritter
jcaffey@axiom.com,FALSE,11/16/2019,12/07/2019,First Class,282,DAL-ELP,358,Jenna Caffey
tboyes@axiom.com,FALSE,03/11/2019,07/05/2019,First Class,221,DAL-HOU,756,Todd Boyes
kmeade@axiom.com,FALSE,11/28/2019,12/12/2019,Business,124,DAL-LGA,414,Kalyca Meade
kmeade@axiom.com,FALSE,11/12/2019,12/12/2019,Economy,137,DAL-LAS,414,Kalyca Meade
scartwright@axiom.com,FALSE,12/08/2018,3/25/2019,Economy,101,DAL-OKC,714,Steven Cartwright
mgrace@axiom.com,TRUE,5/25/2019,6/13/2019,Economy,96,DAL-ELP,524,Michael Grace
agarverick@axiom.com,FALSE,10/29/2019,11/22/2019,Economy,80,DAL-AUS,51,Anthony Garverick
lhughes@axiom.com,FALSE,10/20/2019,11/22/2019,Economy,75,DAL-OKC,449,Larry Hughes
dliebe@axiom.com,FALSE,08/04/2019,10/07/2019,Economy,123,DAL-HOU,239,Dorris liebe
dwilson@axiom.com,FALSE,10/05/2019,12/05/2019,Economy,61,DAL-HOU,231,Dianna Wilson
mkennedy@axiom.com,FALSE,08/05/2019,8/22/2019,Business,166,DAL-OKC,543,Mike Kennedy
bfranzösisch@axiom.com,FALSE,6/30/2019,9/26/2019,Economy,114,DAL-SEA,68,Barry Französisch
psewall@axiom.com,FALSE,11/15/2019,12/08/2019,Economy,145,DAL-GRR,602,Penelope Sewall
plucas@axiom.com,FALSE,11/21/2019,12/29/2019,Economy,83,DAL-ELP,594,Paul Lucas
dbraden@axiom.com,FALSE,8/18/2019,09/07/2019,Economy,114,DAL-OKC,213,Dean Braden
jwaco@axiom.com,FALSE,07/06/2019,9/20/2019,Economy,108,DAL-AMA,347,Jane Waco
rpayne@axiom.com,FALSE,08/04/2019,10/06/2019,First Class,214,DAL-OKC,617,Rachel Payne
bstugart@axiom.com,FALSE,1/18/2019,02/04/2019,Economy,133,DAL-HOU,111,Brian Stugart
nstaavos@axiom.com,FALSE,04/08/2019,5/14/2019,Economy,117,DAL-OKC,575,Noel Staavos
jgarza@axiom.com,FALSE,04/04/2019,6/26/2019,Economy,111,DAL-LGA,340,Jack Garza
ptakahito@axiom.com,FALSE,10/02/2019,12/02/2019,Economy,99,DAL-SLC,605,Pete Takahito
habelman@axiom.com,TRUE,4/20/2019,5/18/2019,First Class,240,DAL-HOU,326,Helen Abelman
bdodson@axiom.com,FALSE,03/10/2019,04/11/2019,Economy,121,DAL-AUS,104,Brendan Dodson
jklamczynski@axiom.com,FALSE,04/10/2019,5/25/2019,Economy,79,DAL-ATL,354,Jason Klamczynski
nradford@axiom.com,FALSE,05/09/2019,6/21/2019,Economy,101,DAL-MDW,569,Nick Radford
tsayre@axiom.com,TRUE,10/22/2019,11/11/2019,Economy,154,DAL-ATL,765,Tony Sayre
eballard@axiom.com,FALSE,3/16/2019,5/21/2019,Economy,144,DAL-AMA,255,Ellis Ballard
cselesnick@axiom.com,FALSE,1/30/2019,04/02/2019,Business,156,DAL-PHX,149,Chris Selesnick
abarnes@axiom.com,TRUE,10/01/2019,11/10/2019,Business,129,DAL-LGA,11,Alan Barnes
pryan@axiom.com,FALSE,7/18/2019,08/07/2019,Economy,93,DAL-AUS,591,Patrick Ryan
dsayre@axiom.com,FALSE,11/09/2019,12/12/2019,Economy,159,DAL-LAS,201,Darrin Sayre
mvittorini@axiom.com,FALSE,6/23/2019,6/30/2019,Business,103,DAL-ATL,545,Mike Vittorini
npelletier@axiom.com,FALSE,2/21/2019,4/21/2019,First Class,301,DAL-ATL,578,Nora Pelletier
ahane@axiom.com,FALSE,09/02/2019,09/08/2019,Economy,103,DAL-LGA,8,Adrian Hane
ahane@axiom.com,TRUE,7/28/2019,11/21/2019,Economy,158,DAL-ATL,8,Adrian Hane
hflentye@axiom.com,FALSE,06/02/2019,7/15/2019,Economy,95,DAL-SEA,332,Herbert Flentye
ajohnson@axiom.com,FALSE,5/23/2019,6/25/2019,Economy,61,DAL-HOU,53,Anthony Johnson
cglotzbach@axiom.com,FALSE,10/05/2019,11/21/2019,Economy,140,DAL-ELP,135,Catherine Glotzbach
aferguson@axiom.com,FALSE,11/24/2019,12/12/2019,Economy,97,DAL-AUS,58,Art Ferguson
jjackson@axiom.com,TRUE,7/28/2019,11/05/2019,Economy,94,DAL-LAS,362,Jennifer Jackson
tprescott@axiom.com,FALSE,8/20/2019,12/04/2019,Economy,121,DAL-MDW,760,Tom Prescott
mludwig@axiom.com,FALSE,07/06/2019,8/30/2019,Economy,139,DAL-MDW,516,Max Ludwig
ahaines@axiom.com,FALSE,06/06/2019,10/06/2019,Economy,65,DAL-HOU,13,Alan Haines
rkennedy@axiom.com,TRUE,10/20/2019,12/01/2019,Economy,79,DAL-AUS,619,Ralph Kennedy
ahwang@axiom.com,TRUE,08/11/2019,09/05/2019,Economy,107,DAL-HOU,14,Alan Hwang
rdowd@axiom.com,FALSE,07/12/2019,9/15/2019,Economy,123,DAL-HOU,638,Rob Dowd
carntzen@axiom.com,FALSE,11/10/2019,12/28/2019,Business,143,DAL-PHX,184,Cynthia Arntzen
dbadders@axiom.com,FALSE,07/12/2019,08/04/2019,Economy,129,DAL-AUS,236,Dorothy Badders
bpak@axiom.com,FALSE,9/29/2019,11/25/2019,Business,126,DAL-ATL,77,Becky Pak
sshifley@axiom.com,TRUE,09/08/2019,10/12/2019,Economy,79,DAL-AUS,675,Saphhira Shifley
bhoffman@axiom.com,FALSE,5/27/2019,6/13/2019,Economy,153,DAL-ATL,114,Brosina Hoffman
ajones@axiom.com,FALSE,5/15/2019,06/12/2019,Economy,79,DAL-LAS,64,Astrea Jones
cludwig@axiom.com,FALSE,11/29/2019,12/10/2019,Economy,151,DAL-GRR,125,Carl Ludwig
achong@axiom.com,FALSE,10/21/2019,12/02/2019,Economy,119,DAL-GRR,41,Ann Chong
mzettner@axiom.com,TRUE,7/21/2019,10/11/2019,Business,176,DAL-PHX,488,Maria Zettner
lpelletier@axiom.com,FALSE,10/18/2019,11/13/2019,Economy,83,DAL-LGA,471,Liz Pelletier
creiten@axiom.com,FALSE,01/09/2019,3/22/2019,First Class,269,DAL-LGA,187,Cyra Reiten
crozendal@axiom.com,FALSE,10/21/2019,12/09/2019,Economy,63,DAL-PHX,171,Clay Rozendal
knockton@axiom.com,FALSE,07/09/2019,09/03/2019,Business,135,DAL-PHX,425,Katherine Nockton
dblanton@axiom.com,TRUE,10/17/2019,12/27/2019,First Class,233,DAL-ATL,226,Denny Blanton
mschwartz@axiom.com,FALSE,1/31/2019,04/05/2019,Business,140,DAL-SEA,517,Maxwell Schwartz
ssunley@axiom.com,FALSE,8/19/2019,10/24/2019,Economy,131,DAL-PHX,705,Sonia Sunley
rlucas@axiom.com,TRUE,4/17/2019,6/18/2019,Economy,92,DAL-AUS,640,Rob Lucas
ajacobs@axiom.com,FALSE,8/13/2019,9/20/2019,Economy,150,DAL-ELP,52,Anthony Jacobs
croper@axiom.com,FALSE,6/16/2019,07/06/2019,Economy,67,DAL-HOU,174,Corey Roper
rausman@axiom.com,TRUE,10/05/2019,12/27/2019,Economy,155,DAL-MDW,658,Ruben Ausman
schand@axiom.com,FALSE,12/11/2019,12/24/2019,Business,169,DAL-PHX,672,Sanjit Chand
dsmith@axiom.com,TRUE,09/05/2019,11/08/2019,Business,144,DAL-OKC,211,David Smith
fgastineau@axiom.com,FALSE,10/23/2019,11/16/2019,Economy,66,DAL-HOU,283,Frank Gastineau
tbraunhardt@axiom.com,FALSE,11/01/2019,12/22/2019,Economy,110,DAL-AUS,751,Toby Braunhardt
rkennedy@axiom.com,FALSE,08/05/2019,8/17/2019,Economy,71,DAL-AUS,619,Ralph Kennedy
x,FALSE,7/31/2019,11/05/2019,Business,154,DAL-AUS,415,Karen Bern
dkendrick@axiom.com,FALSE,10/30/2019,11/09/2019,Economy,134,DAL-MDW,209,David Kendrick
iliston@axiom.com,TRUE,02/08/2019,3/30/2019,Economy,63,DAL-LAS,339,Ivan Liston
mjones@axiom.com,FALSE,11/13/2019,12/18/2019,Business,140,DAL-AMA,515,Max Jones
jmolinari@axiom.com,FALSE,10/08/2019,11/09/2019,Economy,128,DAL-GRR,350,Janet Molinari
dvittorini@axiom.com,TRUE,11/09/2019,12/04/2019,Economy,100,DAL-LAS,230,Dianna Vittorini
cclark@axiom.com,TRUE,7/22/2019,10/15/2019,Business,169,DAL-GRR,161,Chuck Clark
jhirsh@axiom.com,FALSE,7/19/2019,09/12/2019,Economy,125,DAL-AUS,411,Justin Hirsh
scalhoun@axiom.com,FALSE,3/20/2019,04/04/2019,Economy,146,DAL-LGA,719,Stuart Calhoun
gtran@axiom.com,FALSE,10/10/2019,10/23/2019,Economy,104,DAL-OKC,313,Greg Tran
tdahlen@axiom.com,FALSE,1/29/2019,2/14/2019,Economy,63,DAL-HOU,732,Tamara Dahlen
csachs@axiom.com,FALSE,1/19/2019,02/12/2019,Economy,134,DAL-PHX,163,Chuck Sachs
sbern@axiom.com,FALSE,10/01/2019,12/10/2019,Economy,143,DAL-GRR,677,Sarah Bern
ejacobs@axiom.com,FALSE,6/25/2019,7/27/2019,Business,168,DAL-PHX,276,Eva Jacobs
ehildebrand@axiom.com,TRUE,10/22/2019,11/15/2019,Economy,75,DAL-HOU,274,Eugene Hildebrand
sflanagan@axiom.com,TRUE,11/17/2019,12/05/2019,Economy,65,DAL-LAS,670,Sandra Flanagan
ecreighton@axiom.com,TRUE,09/10/2019,9/22/2019,Economy,140,DAL-MDW,269,Erin Creighton
jcaffey@axiom.com,FALSE,11/01/2019,12/07/2019,Business,111,DAL-PHX,358,Jenna Caffey
arussell@axiom.com,TRUE,08/06/2019,10/16/2019,Economy,146,DAL-MDW,23,Alex Russell
mkennedy@axiom.com,FALSE,9/28/2019,12/15/2019,Economy,123,DAL-HOU,526,Michael Kennedy
kmeade@axiom.com,TRUE,10/28/2019,12/12/2019,Economy,146,DAL-AUS,414,Kalyca Meade
swilliamson@axiom.com,FALSE,12/15/2018,03/08/2019,First Class,270,DAL-ATL,684,Scott Williamson
x,FALSE,9/16/2019,10/07/2019,Economy,143,DAL-ATL,415,Karen Bern
lcacioppo@axiom.com,TRUE,10/19/2019,11/27/2019,Economy,130,DAL-OKC,457,Lena Cacioppo
ashonely@axiom.com,FALSE,10/25/2018,1/27/2019,Economy,64,DAL-MDW,16,Alan Shonely
hmacallister@axiom.com,FALSE,7/26/2019,09/11/2019,Economy,138,DAL-OKC,331,Henry MacAllister
dpoirier@axiom.com,FALSE,4/27/2019,07/02/2019,Economy,72,DAL-MDW,206,Dave Poirier
fatkinson@axiom.com,FALSE,11/22/2019,12/10/2019,Economy,127,DAL-PHX,281,Frank Atkinson
dwilson@axiom.com,FALSE,10/13/2019,12/05/2019,Business,132,DAL-PHX,231,Dianna Wilson
mkennedy@axiom.com,FALSE,7/24/2019,8/22/2019,First Class,275,DAL-HOU,543,Mike Kennedy
kbrennan@axiom.com,FALSE,11/22/2019,12/21/2019,Economy,143,DAL-AUS,439,Ken Brennan
gashbrook@axiom.com,FALSE,9/23/2019,11/04/2019,First Class,277,DAL-TUL,300,George Ashbrook
dordway,TRUE,11/15/2018,1/25/2019,Economy,149,DAL-ELP,228,Denny Ordway
bstugart@axiom.com,FALSE,01/05/2019,02/04/2019,Business,130,DAL-PHX,111,Brian Stugart
jgalang@axiom.com,FALSE,3/24/2019,6/21/2019,Economy,116,DAL-PHX,343,James Galang
hengle@axiom.com,FALSE,10/14/2019,12/02/2019,Economy,74,DAL-HOU,319,Harold Engle
eburns@axiom.com,FALSE,9/15/2019,10/19/2019,Business,120,DAL-HOU,257,Emily Burns
bdonatelli@axiom.com,FALSE,11/06/2019,11/28/2019,Economy,131,DAL-LGA,88,Bill Donatelli
ptakahito@axiom.com,FALSE,8/22/2019,12/02/2019,Economy,62,DAL-OKC,605,Pete Takahito
sschmidt@axiom.com,TRUE,10/12/2019,12/04/2019,Economy,102,DAL-MDW,700,Shirley Schmidt
bdodson@axiom.com,TRUE,2/21/2019,04/11/2019,Economy,69,DAL-ATL,104,Brendan Dodson
fmcadams@axiom.com,FALSE,7/30/2019,11/19/2019,Economy,127,DAL-HOU,280,Filia McAdams
pprost@axiom.com,FALSE,10/13/2019,12/23/2019,Economy,145,DAL-ELP,596,Paul Prost
dphilippe@axiom.com,FALSE,10/23/2019,12/10/2019,Economy,146,DAL-AUS,210,David Philippe
bderr@axiom.com,FALSE,01/04/2019,2/28/2019,Business,116,DAL-AUS,109,Brian Derr
tsayre@axiom.com,TRUE,7/17/2019,11/11/2019,Business,165,DAL-AMA,765,Tony Sayre
ccheatham@axiom.com,FALSE,06/02/2019,07/09/2019,Economy,83,DAL-HOU,169,Clay Cheatham
rhaberlin@axiom.com,FALSE,2/25/2019,04/11/2019,Economy,83,DAL-AUS,639,Rob Haberlin
abarnes@axiom.com,FALSE,10/23/2019,11/10/2019,Economy,118,DAL-HOU,11,Alan Barnes
bmurry@axiom.com,FALSE,01/12/2019,1/31/2019,Economy,99,DAL-LGA,105,Brendan Murry
dmiller@axiom.com,FALSE,7/15/2019,8/28/2019,Economy,159,DAL-ATL,234,Don Miller
xxxx,FALSE,10/26/2019,11/27/2019,Economy,89,DAL-LAS,739,Thea Hendricks
mpelletier@axiom.com,FALSE,10/06/2019,11/18/2019,Economy,62,DAL-AUS,544,Mike Pelletier
jmitchum@axiom.com,FALSE,8/22/2019,9/15/2019,Economy,154,DAL-OKC,376,Jim Mitchum
mjones@axiom.com,TRUE,1/23/2019,2/14/2019,Economy,137,DAL-ELP,515,Max Jones
btyler@axiom.com,TRUE,10/03/2019,10/21/2019,Economy,126,DAL-HOU,93,Bill Tyler
ahane@axiom.com,FALSE,8/20/2019,11/21/2019,Economy,63,DAL-AUS,8,Adrian Hane
cglotzbach@axiom.com,TRUE,09/10/2019,11/21/2019,Economy,67,DAL-MDW,135,Catherine Glotzbach
mhagelstein@axiom.com,FALSE,10/27/2019,11/06/2019,First Class,235,DAL-HOU,507,Matt Hagelstein
jjackson@axiom.com,FALSE,10/20/2019,11/05/2019,Economy,67,DAL-PHX,362,Jennifer Jackson
adominguez@axiom.com,FALSE,05/01/2019,5/14/2019,Economy,99,DAL-MDW,12,Alan Dominguez
dflashing@axiom.com,FALSE,12/30/2018,1/23/2019,Economy,137,DAL-SEA,208,David Flashing
azypern@axiom.com,FALSE,9/18/2019,12/05/2019,First Class,305,DAL-ATL,50,Annie Zypern
dcampbell@axiom.com,FALSE,10/17/2019,12/23/2019,Economy,140,DAL-OKC,189,Dan Campbell
ahwang@axiom.com,FALSE,08/02/2019,09/05/2019,Economy,137,DAL-SLC,14,Alan Hwang
ahwang@axiom.com,FALSE,8/27/2019,09/05/2019,Economy,68,DAL-LGA,14,Alan Hwang
rdowd@axiom.com,FALSE,08/11/2019,9/15/2019,Economy,144,DAL-MDW,638,Rob Dowd
jhowell@axiom.com,FALSE,11/07/2019,12/04/2019,First Class,242,DAL-OKC,393,Jonathan Howell
croper@axiom.com,FALSE,8/18/2019,9/29/2019,Economy,60,DAL-HOU,174,Corey Roper
jfein@axiom.com,FALSE,01/12/2019,1/30/2019,Economy,103,DAL-PHX,356,Jay Fein
creiten@axiom.com,FALSE,5/30/2019,07/01/2019,Economy,62,DAL-OKC,187,Cyra Reiten
achong@axiom.com,TRUE,9/25/2019,12/02/2019,Economy,77,DAL-HOU,41,Ann Chong
mzettner@axiom.com,FALSE,8/25/2019,10/11/2019,Economy,113,DAL-LGA,488,Maria Zettner
creiten@axiom.com,FALSE,1/24/2019,3/22/2019,Economy,139,DAL-PHX,187,Cyra Reiten
crozendal@axiom.com,FALSE,11/11/2019,12/09/2019,Economy,148,DAL-HOU,171,Clay Rozendal
lleatherbury@axiom.com,TRUE,04/02/2019,6/19/2019,Economy,158,DAL-HOU,455,Lauren Leatherbury
rapplegate@axiom.com,TRUE,10/04/2019,11/03/2019,Business,132,DAL-SLC,660,Russell Applegate
ajacobs@axiom.com,FALSE,8/28/2019,9/20/2019,Business,122,DAL-HOU,52,Anthony Jacobs
draglin@axiom.com,FALSE,11/01/2019,12/01/2019,Economy,144,DAL-AMA,195,Daniel Raglin
dkotsonis@axiom.com,FALSE,10/17/2019,12/02/2019,Economy,155,DAL-ATL,188,Damala Kotsonis
rbaird@axiom.com,FALSE,08/02/2019,09/01/2019,Business,176,DAL-LGA,652,Ross Baird
hmarie@axiom.com,TRUE,10/13/2019,10/27/2019,First Class,210,DAL-HOU,323,Harry Marie
fgastineau@axiom.com,FALSE,10/12/2019,11/16/2019,Economy,92,DAL-GRR,283,Frank Gastineau
sbrown@axiom.com,FALSE,07/09/2019,9/15/2019,Economy,123,DAL-HOU,678,Sarah Brown
rmurray@axiom.com,FALSE,3/30/2019,5/23/2019,Economy,79,DAL-ELP,649,Roland Murray
lwillingham@axiom.com,TRUE,10/17/2019,12/31/2019,First Class,255,DAL-ELP,474,Liz Willingham
ehernandez@axiom.com,FALSE,11/10/2019,12/19/2019,Economy,146,DAL-AUS,266,Erica Hernandez
spistek@axiom.com,FALSE,8/15/2019,10/26/2019,Business,161,DAL-HOU,727,Susan Pistek
mjones@axiom.com,FALSE,11/05/2019,12/18/2019,Business,114,DAL-OKC,515,Max Jones
